"Check","Severity","Excluded","Type","Description","Details"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(132.67 mm, 159.11 mm): PTH pad 1 [/~{RD}] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(132.67 mm, 159.11 mm): PTH pad 1 [/~{RD}] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(79.78 mm, 144.7 mm): PTH pad 1 [+3.3V] of R3;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(135.21 mm, 159.11 mm): PTH pad 2 [/D0] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(135.21 mm, 159.11 mm): PTH pad 2 [/D0] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(79.78 mm, 144.7 mm): PTH pad 1 [+3.3V] of R3;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(137.75 mm, 159.11 mm): PTH pad 3 [/D1] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(87.4 mm, 144.7 mm): PTH pad 2 [/OE] of R3;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(137.75 mm, 159.11 mm): PTH pad 3 [/D1] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(140.29 mm, 159.11 mm): PTH pad 4 [/D2] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(140.29 mm, 159.11 mm): PTH pad 4 [/D2] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(142.83 mm, 159.11 mm): PTH pad 5 [/D3] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(142.83 mm, 159.11 mm): PTH pad 5 [/D3] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(145.37 mm, 159.11 mm): PTH pad 6 [/D4] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(145.37 mm, 159.11 mm): PTH pad 6 [/D4] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(147.91 mm, 159.11 mm): PTH pad 7 [/D5] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(147.91 mm, 159.11 mm): PTH pad 7 [/D5] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(150.45 mm, 159.11 mm): PTH pad 8 [/D6] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(150.45 mm, 159.11 mm): PTH pad 8 [/D6] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(152.99 mm, 159.11 mm): PTH pad 9 [/D7] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(152.99 mm, 159.11 mm): PTH pad 9 [/D7] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(87.4 mm, 144.7 mm): PTH pad 2 [/OE] of R3;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(155.53 mm, 151.49 mm): PTH pad 11 [/D7_LV] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(155.53 mm, 151.49 mm): PTH pad 11 [/D7_LV] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(91.12 mm, 117.06 mm): PTH pad 2 [+3.3V] of J1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(152.99 mm, 151.49 mm): PTH pad 12 [/D6_LV] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(91.12 mm, 117.06 mm): PTH pad 2 [+3.3V] of J1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(152.99 mm, 151.49 mm): PTH pad 12 [/D6_LV] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(150.45 mm, 151.49 mm): PTH pad 13 [/D5_LV] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(93.66 mm, 119.6 mm): PTH pad 3 [/IO_1] of J1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(150.45 mm, 151.49 mm): PTH pad 13 [/D5_LV] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(147.91 mm, 151.49 mm): PTH pad 14 [/D4_LV] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(93.66 mm, 119.6 mm): PTH pad 3 [/IO_1] of J1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(147.91 mm, 151.49 mm): PTH pad 14 [/D4_LV] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(93.66 mm, 117.06 mm): PTH pad 4 [/IO_6] of J1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Front solder mask aperture bridges items with different nets","@(145.37 mm, 151.49 mm): PTH pad 15 [/D3_LV] of U4;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
"Violations","error","False","solder_mask_bridge","Rear solder mask aperture bridges items with different nets","@(93.66 mm, 117.06 mm): PTH pad 4 [/IO_6] of J1;@(60.0 mm, 115.0 mm): Zone [GND] on Front and Back, priority 0"
