Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,Digikey_URI,Farnell_URI,MPN,Akizuki,Sim.Device,Sim.Pins
1,"Unpolarized capacitor, small symbol",C_Small,C1 C2 C3 C4,C_Small,C_Disc_D5.0mm_W2.5mm_P2.50mm,4, ,,,,,,,
2,"75V Vrm 0.5A Ifsm standard switching diode, DO-35",1N4149,D1,1N4149,D_DO-35_SOD27_P7.62mm_Horizontal,1, ,http://www.microsemi.com/document-portal/doc_view/11580-lds-0239,https://www.digikey.co.uk/short/t114n2v5,,1N4149TR,,D,1=K 2=A
3,"Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_02x05_Odd_Even,J2,Conn_02x05_Odd_Even,PinHeader_2x05_P2.54mm_Vertical,1, ,,,,,,,
4,"Generic connector, double row, 02x06, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_02x06_Odd_Even,J1,Conn_02x06_Odd_Even,PinHeader_2x06_P2.54mm_Vertical,1, ,,,,,,,
5,"Generic connector, single row, 01x39, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x39,P1,1x39 pin header,PinHeader_1x39_P2.54mm_Vertical,1, ,,,,,,,
6,Resistor,R,R2 R3 R4 R5,10K,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,4, ,,,,,,,
7,"8-Bit Single-Supply Bus Transceiver With 5V tolerant input voltage and 3-State Outputs 24mA, TSSOP-20",SN74LVC245APW,U2 U3 U4,SN74LVC245APW,DIP-20_W7.62mm_Socket,3, ,https://www.ti.com/lit/ds/scas218x/scas218x.pdf,https://www.digikey.co.uk/short/0tmh5220; https://www.digikey.co.uk/short/h853t589,,SN74LVC245AN; 1-2199298-6,,,
8,Tang Nano 9K FPGA,Tang_Nano_9K,U1,Tang_Nano_9K,DIP-48_TangNano9K,1, ,https://wiki.sipeed.com/hardware/en/tang/Tang-Nano-9K/Nano-9K.html,https://www.digikey.co.uk/short/z7d4h7z4,,SSK02-FPH-254-A24,117448,,





Project info:
Schematic:,rcbus-tang-9k
Variant:,default
Revision:,0.0.0-pre-97c825f
Date:,${DATE}
KiCad Version:,10.0.5-unknown-202607221313~667fa36054~ubuntu25.10.1
Statistics:
Component Groups:,8
Component Count:,16 (0 SMD/ 16 THT)
Fitted Components:,16 (0 SMD/ 16 THT)
Number of PCBs:,1
Total Components:,16
