Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,"Unpolarized capacitor, small symbol",C_Small,C1 C3,0.1uF,C_Disc_D3.8mm_W2.6mm_P2.50mm,2, ,
2,"Unpolarized capacitor, small symbol",C_Small,C2,C_Small,C_Disc_D3.8mm_W2.6mm_P2.50mm,1, ,
3,"Generic connector, double row, 02x06, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_02x06_Odd_Even,J1,Conn_02x06_Odd_Even,PinHeader_2x06_P2.54mm_Vertical,1, ,
4,"Generic connector, double row, 02x13, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_02x13_Odd_Even,J2,Conn_02x20_Odd_Even,IDC-Header_2x13_P2.54mm_Horizontal,1, ,
5,"Generic connector, single row, 01x39, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x39,P1,Conn_01x39,PinHeader_1x39_P2.54mm_Vertical,1, ,
6,Resistor,R,R2 R3 R4,10K,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3, ,
7,"7 resistor network, star topology, bussed resistors, small symbol",R_Network07,RN1,R_Network07,R_Array_SIP8,1, ,http://www.vishay.com/docs/31509/csc.pdf
8,Hex Inverter,74HCT04,U3,74HCT04,DIP-14_W7.62mm_Socket,1, ,https://assets.nexperia.com/documents/data-sheet/74HC_HCT04.pdf
9,8-bit magnitude comparator,74HCT688,U2,74HCT688,DIP-20_W7.62mm_Socket,1, ,https://www.ti.com/lit/ds/symlink/cd54hc688.pdf
10,"CHMOS Programmable Peripheral Interface, PLCC-44",82C55A_PLCC,U1,82C55A_PLCC,PLCC-44_THT-Socket,1, ,http://jap.hu/electronic/8255.pdf





Project info:
Schematic:,rcbus-parallel
Variant:,default
Revision:,3
Date:,2022-07-25
KiCad Version:,10.0.5-unknown-202607221313~667fa36054~ubuntu25.10.1
Statistics:
Component Groups:,10
Component Count:,13 (0 SMD/ 13 THT)
Fitted Components:,13 (0 SMD/ 13 THT)
Number of PCBs:,1
Total Components:,13
