"Check","Severity","Excluded","Type","Description","Details"
"Violations","warning","False","text_thickness","Text thickness out of range (TrueType font characters with insufficient stroke weight)","@(107.8 mm, 132.03028 mm): PCB text 'Tang Nano 9K' on F.Silkscreen"
"Violations","warning","False","text_thickness","Text thickness out of range (TrueType font characters with insufficient stroke weight)","@(129.3 mm, 130.8 mm): PCB text 'CC BY-SA
https://creativecommons.org' on B.Silkscreen"
"Violations","warning","False","text_thickness","Text thickness out of range (TrueType font characters with insufficient stroke weight)","@(159.25 mm, 161.0 mm): PCB text 'https://maidavale.org/projects/rcbus-tang-nano-9k' on B.Silkscreen"
"Violations","warning","False","silk_edge_clearance","Silkscreen clipped by board edge","@(154.5 mm, 120.5 mm): Arc on Edge.Cuts;@(89.9 mm, 117.8 mm): Rectangle of U1 on F.Silkscreen"
"Violations","error","True","courtyards_overlap","Courtyards overlap","@(121.7 mm, 130.8 mm): Footprint U1;@(135.75 mm, 122.7 mm): Footprint C4"
"Schematic parity","warning","False","footprint_symbol_field_mismatch","Missing symbol field 'Digikey_URI' in footprint","@(97.8 mm, 150.76 mm): Footprint C1"
"Schematic parity","warning","False","footprint_symbol_field_mismatch","Missing symbol field 'Digikey_URI' in footprint","@(66.2 mm, 150.76 mm): Footprint C2"
"Schematic parity","warning","False","footprint_symbol_field_mismatch","Missing symbol field 'Digikey_URI' in footprint","@(129.5 mm, 150.75 mm): Footprint C3"
"Schematic parity","warning","False","footprint_symbol_field_mismatch","Missing symbol field 'Digikey_URI' in footprint","@(135.75 mm, 122.7 mm): Footprint C4"
"Schematic parity","warning","False","footprint_symbol_field_mismatch","Missing symbol field 'Digikey_URI' in footprint","@(108.08 mm, 146.7 mm): Footprint D1"
"Schematic parity","warning","False","footprint_symbol_field_mismatch","Missing symbol field 'Digikey_URI' in footprint","@(65.032 mm, 131.882 mm): Footprint H1"
"Schematic parity","warning","False","footprint_symbol_field_mismatch","Missing symbol field 'Digikey_URI' in footprint","@(75.66 mm, 130.54 mm): Footprint J1"
"Schematic parity","warning","False","footprint_symbol_field_mismatch","Missing symbol field 'Digikey_URI' in footprint","@(76.9 mm, 118.02 mm): Footprint J2"
"Schematic parity","warning","False","footprint_symbol_field_mismatch","Missing symbol field 'Digikey_URI' in footprint","@(61.5 mm, 163.5 mm): Footprint P1"
"Schematic parity","warning","False","footprint_symbol_mismatch","Value (R2) doesn't match symbol value (R)","@(62.69 mm, 141.9 mm): Footprint R2"
"Schematic parity","warning","False","footprint_symbol_field_mismatch","Missing symbol field 'Digikey_URI' in footprint","@(62.69 mm, 141.9 mm): Footprint R2"
"Schematic parity","warning","False","footprint_symbol_mismatch","Value (R3) doesn't match symbol value (R)","@(62.69 mm, 145.5 mm): Footprint R3"
"Schematic parity","warning","False","footprint_symbol_field_mismatch","Missing symbol field 'Digikey_URI' in footprint","@(62.69 mm, 145.5 mm): Footprint R3"
"Schematic parity","warning","False","footprint_symbol_field_mismatch","Missing symbol field 'Digikey_URI' in footprint","@(121.7 mm, 130.8 mm): Footprint U1"
"Schematic parity","warning","False","footprint_symbol_field_mismatch","Missing symbol field 'Digikey_URI' in footprint","@(101.024 mm, 158.4 mm): Footprint U2"
"Schematic parity","warning","False","footprint_symbol_field_mismatch","Missing symbol field 'Digikey_URI' in footprint","@(69.388 mm, 158.4 mm): Footprint U3"
"Schematic parity","warning","False","footprint_symbol_field_mismatch","Missing symbol field 'Digikey_URI' in footprint","@(132.66 mm, 158.4 mm): Footprint U4"
